id,nome,idade,nota_simulado,frequencia,turma,status_aprovação
912,Ana Luiza Aparecida,19.0,4.3,0.9,B,Reprovado
913,Rhavi Novaes,20.0,5.0,0.59,C,Reprovado
914,Sr. Isaque Macedo,19.0,5.9,0.8,A,Reprovado
915,Vitor Gabriel da Conceição,16.0,3.9,0.61,B,Reprovado
916,Dr. Ian Nascimento,16.0,1.7,0.64,C,Reprovado
918,Luana Barbosa,20.0,0.4,0.9,C,Reprovado
919,Eloah Ferreira,16.0,4.3,0.93,A,Reprovado
920,Laura Oliveira,17.0,4.7,0.69,A,Reprovado
921,Sra. Maria Julia Camargo,17.0,7.2,0.83,C,Aprovado
922,Ana Luiza Garcia,16.0,8.8,0.76,C,Aprovado
923,Erick Correia,16.0,4.3,0.65,B,Reprovado
924,Guilherme Camargo,17.0,6.3,0.68,B,Reprovado
925,Kaique Garcia,16.0,2.5,0.82,C,Reprovado
929,Cauã Nascimento,16.0,8.0,0.78,C,Aprovado
930,Thales Machado,16.0,4.2,0.85,A,Reprovado
931,Marcos Vinicius Macedo,18.0,5.4,0.61,A,Reprovado
932,Dra. Olívia Vieira,17.0,2.1,0.94,C,Reprovado
933,Kamilly Ferreira,16.0,5.7,0.82,B,Reprovado
935,João Lucas Ferreira,18.0,2.4,1.0,C,Reprovado
936,Ana Liz Azevedo,20.0,7.2,0.94,C,Aprovado
937,Rael Peixoto,20.0,5.4,0.71,A,Reprovado
938,Lucas da Mota,17.0,2.0,0.87,C,Reprovado
939,Rafael Mendes,19.0,3.3,0.54,B,Reprovado
940,Pietra Fernandes,16.0,8.4,0.84,C,Aprovado
941,Davi Lucas Peixoto,20.0,7.6,0.5,C,Reprovado
942,Sr. Davi Lucas Pereira,19.0,9.1,0.77,A,Aprovado
943,Mateus Pacheco,17.0,5.7,0.7,C,Reprovado
944,Aurora Rezende,20.0,5.3,0.79,C,Reprovado
945,Luana Carvalho,20.0,8.3,0.54,B,Reprovado
946,Luana Campos,20.0,2.7,0.76,A,Reprovado
947,Theo Marques,19.0,7.9,0.85,A,Aprovado
948,Dr. Oliver da Costa,17.0,0.4,0.95,B,Reprovado
950,Natália Cassiano,16.0,0.7,0.69,C,Reprovado
951,Eloah Garcia,20.0,8.2,0.62,A,Reprovado
952,Emanuella Cassiano,17.0,6.2,0.77,C,Reprovado
953,Guilherme Ferreira,20.0,5.3,0.53,B,Reprovado
954,Sr. Cauê Fernandes,18.0,4.0,0.59,A,Reprovado
955,Isis da Conceição,20.0,4.3,0.96,B,Reprovado
956,Gustavo Albuquerque,18.0,2.7,0.93,A,Reprovado
957,Daniela da Rosa,20.0,5.3,0.68,A,Reprovado
958,Sr. Diogo Leão,19.0,8.5,0.54,C,Reprovado
959,Maitê Teixeira,18.0,4.8,0.68,C,Reprovado
960,João Felipe Azevedo,19.0,6.0,0.81,A,Reprovado
961,Arthur Miguel Moreira,20.0,0.9,0.51,C,Reprovado
962,Srta. Gabriela Pereira,18.0,7.0,0.56,C,Reprovado
963,Ryan Santos,20.0,0.8,0.72,C,Reprovado
964,Isabella da Rosa,20.0,8.3,0.53,C,Reprovado
965,Bento da Cunha,19.0,4.8,0.65,A,Reprovado
966,Ian Moraes,-1.0,6.1,0.94,A,Reprovado
967,Lorena Teixeira,18.0,8.7,0.58,A,Reprovado
968,Giovanna Peixoto,17.0,5.1,0.59,B,Reprovado
969,Raul Viana,18.0,6.7,0.83,B,Reprovado
970,Levi Brito,16.0,1.9,0.77,B,Reprovado
972,Antônio da Rocha,17.0,4.7,0.72,C,Reprovado
973,Leandro Gonçalves,17.0,2.7,0.81,B,Reprovado
974,Vinícius Mendonça,18.0,3.3,0.58,C,Reprovado
975,Dra. Helena Fogaça,20.0,9.4,0.54,C,Reprovado
976,Caio Jesus,20.0,9.2,0.55,C,Reprovado
977,Cecilia Cunha,20.0,1.0,0.99,B,Reprovado
978,Pedro Miguel Cirino,18.0,0.2,0.86,C,Reprovado
979,Ana Clara Mendes,16.0,0.6,0.98,A,Reprovado
980,Lavínia Borges,19.0,9.7,0.77,C,Aprovado
981,Aurora Cunha,19.0,9.1,0.63,B,Reprovado
982,Cauê Fogaça,20.0,2.7,0.95,C,Reprovado
983,Matheus Cavalcanti,16.0,2.6,0.77,C,Reprovado
984,Luiza Nunes,16.0,3.3,0.98,C,Reprovado
985,Leandro Gomes,19.0,2.7,0.96,C,Reprovado
986,Mariane Santos,19.0,6.7,0.85,A,Reprovado
987,Dr. Dom Ribeiro,19.0,9.5,0.93,A,Aprovado
988,Sr. Mateus Souza,16.0,3.0,0.71,B,Reprovado
989,Apollo Souza,-1.0,2.8,0.86,C,Reprovado
990,Brenda Moreira,17.0,2.6,0.93,C,Reprovado
991,Josué Vargas,18.0,2.9,0.8,C,Reprovado
992,Ravi da Cunha,19.0,9.6,0.99,B,Aprovado
993,Sabrina Nunes,20.0,8.1,0.5,B,Reprovado
994,Dra. Lívia da Cruz,16.0,7.1,0.77,C,Aprovado
995,Dra. Heloísa das Neves,18.0,5.0,0.87,A,Reprovado
996,Maria Laura Guerra,17.0,9.0,0.88,C,Aprovado
997,Emanuella Moreira,20.0,6.3,0.68,C,Reprovado
998,Eduarda Cunha,17.0,3.6,0.79,A,Reprovado
999,Ian Rios,18.0,9.0,0.55,B,Reprovado
1000,Matheus Peixoto,17.0,1.0,0.75,A,Reprovado
